request,ttft_seconds,total_latency_seconds,generation_time_seconds,completion_tokens,tokens_per_second
1,0.0358,2.4564,2.4207,93,38.42
2,0.0266,2.4829,2.4563,97,39.49
3,0.0269,2.3358,2.3089,100,43.31
4,0.0267,2.2508,2.2241,100,44.96
5,0.0266,2.2734,2.2468,100,44.51
6,0.0322,2.3002,2.268,100,44.09
7,0.0267,2.268,2.2413,100,44.62
8,0.0285,2.2956,2.2671,100,44.11
9,0.027,2.2765,2.2495,100,44.45
10,0.0274,2.3347,2.3073,100,43.34
11,0.0265,2.2958,2.2693,100,44.07
12,0.0261,2.3331,2.307,100,43.35
13,0.0267,2.298,2.2713,100,44.03
14,0.0267,2.3174,2.2908,100,43.65
15,0.0262,2.3125,2.2862,100,43.74
16,0.0264,2.3162,2.2897,100,43.67
17,0.0271,2.4678,2.4407,100,40.97
18,0.0273,2.4831,2.4558,100,40.72
19,0.0277,2.4318,2.4041,100,41.59
20,0.0265,2.3229,2.2964,100,43.55
21,0.0263,2.3347,2.3083,100,43.32
22,0.0265,2.3287,2.3022,100,43.44
23,0.0261,2.3281,2.302,100,43.44
24,0.0335,2.4556,2.4221,100,41.29
25,0.0277,2.3333,2.3056,100,43.37
26,0.0262,2.3321,2.3059,100,43.37
27,0.0259,2.3354,2.3095,100,43.3
28,0.0271,2.297,2.2699,97,42.73
29,0.0281,2.3608,2.3327,100,42.87
30,0.0264,2.3741,2.3477,100,42.6
