max_tokens,request,ttft_seconds,total_latency_seconds,generation_time_seconds,completion_tokens,tokens_per_second
10,1,0.0739,0.2829,0.209,10,47.85
10,2,0.0279,0.2415,0.2135,10,46.83
10,3,0.0297,0.2422,0.2124,10,47.08
10,4,0.027,0.2358,0.2088,10,47.89
10,5,0.0264,0.2404,0.214,10,46.72
10,6,0.0283,0.2462,0.2179,10,45.89
10,7,0.0265,0.2457,0.2192,10,45.62
10,8,0.0296,0.2463,0.2167,10,46.15
10,9,0.0686,0.3041,0.2355,10,42.47
10,10,0.0266,0.2415,0.2149,10,46.54
10,11,0.0263,0.2322,0.2059,10,48.57
10,12,0.0259,0.264,0.2381,10,42.0
10,13,0.0305,0.2562,0.2257,10,44.3
10,14,0.028,0.2468,0.2188,10,45.71
10,15,0.0272,0.2372,0.2099,10,47.64
10,16,0.0263,0.235,0.2087,10,47.91
10,17,0.0265,0.2368,0.2103,10,47.55
10,18,0.0263,0.2334,0.2071,10,48.28
10,19,0.0274,0.2346,0.2071,10,48.28
10,20,0.026,0.2331,0.2071,10,48.29
10,21,0.0269,0.236,0.2092,10,47.81
10,22,0.0261,0.2355,0.2095,10,47.74
10,23,0.0271,0.2352,0.2081,10,48.06
10,24,0.0274,0.2344,0.207,10,48.31
10,25,0.0261,0.2351,0.209,10,47.85
10,26,0.027,0.2365,0.2096,10,47.72
10,27,0.0267,0.2349,0.2082,10,48.02
10,28,0.0282,0.235,0.2068,10,48.35
10,29,0.0271,0.2344,0.2072,10,48.25
10,30,0.0282,0.236,0.2078,10,48.13
50,1,0.0285,1.1758,1.1473,50,43.58
50,2,0.029,1.2028,1.1739,50,42.59
50,3,0.0262,1.1379,1.1117,50,44.98
50,4,0.0262,1.1738,1.1476,50,43.57
50,5,0.0296,1.1565,1.127,50,44.37
50,6,0.0261,1.1426,1.1165,50,44.78
50,7,0.0273,1.1381,1.1108,50,45.01
50,8,0.0269,1.1575,1.1305,50,44.23
50,9,0.0265,1.1475,1.121,50,44.6
50,10,0.0262,1.224,1.1978,50,41.74
50,11,0.0268,1.1594,1.1326,50,44.14
50,12,0.032,1.2262,1.1942,50,41.87
50,13,0.0265,1.1704,1.1439,50,43.71
50,14,0.0267,1.1444,1.1177,50,44.74
50,15,0.0265,1.1613,1.1349,50,44.06
50,16,0.0267,1.1533,1.1266,50,44.38
50,17,0.0301,1.1556,1.1255,50,44.43
50,18,0.0262,1.1525,1.1263,50,44.39
50,19,0.0262,1.1521,1.1259,50,44.41
50,20,0.0265,1.1854,1.1589,50,43.15
50,21,0.0264,1.1553,1.1288,50,44.29
50,22,0.0279,1.1848,1.1569,50,43.22
50,23,0.0315,1.1577,1.1262,50,44.4
50,24,0.0269,1.1582,1.1313,50,44.2
50,25,0.0263,1.1565,1.1302,50,44.24
50,26,0.0263,1.2605,1.2342,50,40.51
50,27,0.0262,1.1635,1.1373,50,43.96
50,28,0.0264,1.1649,1.1385,50,43.92
50,29,0.0265,1.1638,1.1372,50,43.97
50,30,0.027,1.1711,1.1441,50,43.7
100,1,0.0257,2.3286,2.3029,100,43.42
100,2,0.0263,2.3279,2.3016,100,43.45
100,3,0.026,2.3187,2.2927,100,43.62
100,4,0.0255,2.309,2.2834,100,43.79
100,5,0.0261,2.3824,2.3563,100,42.44
100,6,0.0265,1.7165,1.6901,68,40.24
100,7,0.0273,2.3434,2.3161,100,43.18
100,8,0.028,2.3608,2.3328,100,42.87
100,9,0.0272,1.7399,1.7127,73,42.62
100,10,0.0278,1.8601,1.8323,79,43.11
100,11,0.0298,2.2751,2.2453,97,43.2
100,12,0.0266,2.3094,2.2827,100,43.81
100,13,0.0269,2.332,2.3051,100,43.38
100,14,0.0269,2.2048,2.1778,92,42.24
100,15,0.0268,2.295,2.2682,100,44.09
100,16,0.0264,2.2311,2.2047,95,43.09
100,17,0.0265,2.3216,2.2952,100,43.57
100,18,0.0262,2.299,2.2727,100,44.0
100,19,0.0265,2.323,2.2965,100,43.54
100,20,0.0271,2.283,2.2559,97,43.0
100,21,0.0264,2.3106,2.2842,100,43.78
100,22,0.0262,2.1533,2.127,92,43.25
100,23,0.0268,2.3264,2.2996,100,43.49
100,24,0.0267,2.2984,2.2718,100,44.02
100,25,0.0281,2.3054,2.2774,100,43.91
100,26,0.0263,2.2993,2.2729,100,44.0
100,27,0.027,2.3244,2.2974,100,43.53
100,28,0.0272,2.3241,2.2969,100,43.54
100,29,0.0265,2.3092,2.2827,100,43.81
100,30,0.0273,2.3027,2.2754,100,43.95
