experiment,configuration,metric,unit,samples,p50,p95,p99
baseline,max_tokens=100,ttft_seconds,seconds,30,0.0267,0.0329,0.0351
baseline,max_tokens=100,total_latency_seconds,seconds,30,2.3304,2.4761,2.4830
baseline,max_tokens=100,tokens_per_second,tokens/second,30,43.3700,44.5705,44.8614
output_length,10,ttft_seconds,seconds,30,0.0270,0.0515,0.0724
output_length,10,total_latency_seconds,seconds,30,0.2362,0.2744,0.2980
output_length,10,tokens_per_second,tokens/second,30,47.7750,48.3320,48.5062
output_length,50,ttft_seconds,seconds,30,0.0265,0.0309,0.0319
output_length,50,total_latency_seconds,seconds,30,1.1588,1.2252,1.2506
output_length,50,tokens_per_second,tokens/second,30,44.1700,44.8900,45.0013
output_length,100,ttft_seconds,seconds,30,0.0267,0.0281,0.0293
output_length,100,total_latency_seconds,seconds,30,2.3091,2.3530,2.3761
output_length,100,tokens_per_second,tokens/second,30,43.5100,44.0110,44.0697
prompt_size,short,ttft_seconds,seconds,20,0.0268,0.0328,0.0984
prompt_size,short,total_latency_seconds,seconds,20,1.1564,1.1968,1.2104
prompt_size,medium,ttft_seconds,seconds,20,0.0270,0.0413,0.2105
prompt_size,medium,total_latency_seconds,seconds,20,1.1591,1.1904,1.3710
prompt_size,long,ttft_seconds,seconds,20,0.0294,0.2001,2.4647
prompt_size,long,total_latency_seconds,seconds,20,1.2095,1.6116,3.6992
prompt_size,very_long,ttft_seconds,seconds,20,0.0333,0.2728,3.8771
prompt_size,very_long,total_latency_seconds,seconds,20,1.2879,1.9772,5.3602
