prompt_type,prompt_characters,request,ttft_seconds,total_latency_seconds
short,32,1,0.1148,1.2138
short,32,2,0.0272,1.1277
short,32,3,0.0268,1.1299
short,32,4,0.0268,1.1797
short,32,5,0.0265,1.169
short,32,6,0.0285,1.1959
short,32,7,0.0265,1.1347
short,32,8,0.0283,1.1678
short,32,9,0.0267,1.1384
short,32,10,0.0262,1.147
short,32,11,0.0268,1.1559
short,32,12,0.0275,1.157
short,32,13,0.0267,1.154
short,32,14,0.0277,1.1348
short,32,15,0.0263,1.1401
short,32,16,0.0271,1.1938
short,32,17,0.0279,1.1574
short,32,18,0.0263,1.1505
short,32,19,0.0267,1.1576
short,32,20,0.028,1.1911
medium,125,1,0.2528,1.4161
medium,125,2,0.0283,1.1457
medium,125,3,0.0269,1.1402
medium,125,4,0.0267,1.1514
medium,125,5,0.0302,1.1601
medium,125,6,0.0273,1.1573
medium,125,7,0.0268,1.1572
medium,125,8,0.0269,1.1467
medium,125,9,0.0266,1.1581
medium,125,10,0.0299,1.1646
medium,125,11,0.0268,1.1663
medium,125,12,0.027,1.1785
medium,125,13,0.0279,1.1608
medium,125,14,0.0266,1.1528
medium,125,15,0.0269,1.1647
medium,125,16,0.0275,1.1629
medium,125,17,0.0271,1.1745
medium,125,18,0.0272,1.1638
medium,125,19,0.0266,1.1563
medium,125,20,0.0267,1.1559
long,2450,1,3.0309,4.2211
long,2450,2,0.0295,1.1947
long,2450,3,0.029,0.9071
long,2450,4,0.0286,1.194
long,2450,5,0.0302,1.1965
long,2450,6,0.0283,1.2645
long,2450,7,0.0511,1.4743
long,2450,8,0.0312,1.2289
long,2450,9,0.0287,1.2085
long,2450,10,0.0287,1.2016
long,2450,11,0.0292,1.2072
long,2450,12,0.031,1.2573
long,2450,13,0.0286,1.2013
long,2450,14,0.0294,1.2038
long,2450,15,0.0282,0.2496
long,2450,16,0.0294,1.2105
long,2450,17,0.0319,1.217
long,2450,18,0.0309,1.246
long,2450,19,0.031,1.2502
long,2450,20,0.0296,1.2167
very_long,7350,1,4.7782,6.2059
very_long,7350,2,0.0343,1.3004
very_long,7350,3,0.0333,1.7546
very_long,7350,4,0.0326,0.34
very_long,7350,5,0.0334,1.2879
very_long,7350,6,0.0349,1.2799
very_long,7350,7,0.0322,1.2896
very_long,7350,8,0.034,1.2901
very_long,7350,9,0.0357,1.2967
very_long,7350,10,0.0332,1.2808
very_long,7350,11,0.0323,1.2711
very_long,7350,12,0.0336,1.3
very_long,7350,13,0.0324,1.2961
very_long,7350,14,0.0324,1.2878
very_long,7350,15,0.0332,1.2812
very_long,7350,16,0.0322,1.2739
very_long,7350,17,0.0319,1.2681
very_long,7350,18,0.0344,1.2805
very_long,7350,19,0.0325,1.2938
very_long,7350,20,0.0335,1.2796
